cisp,mes,ano,aisp,risp,total
76,12,2016,12,4,0
77,1,2016,12,4,1
77,2,2016,12,4,0
77,3,2016,12,4,2
77,4,2016,12,4,0
77,5,2016,12,4,0
77,6,2016,12,4,0
77,7,2016,12,4,1
77,8,2016,12,4,2
77,9,2016,12,4,0
77,10,2016,12,4,0
77,11,2016,12,4,1
77,12,2016,12,4,0
78,1,2016,12,4,3
78,2,2016,12,4,1
78,3,2016,12,4,0
78,4,2016,12,4,0
78,5,2016,12,4,2
78,6,2016,12,4,0
78,7,2016,12,4,0
78,8,2016,12,4,0
78,9,2016,12,4,0
78,10,2016,12,4,0
78,11,2016,12,4,2
78,12,2016,12,4,0
79,1,2016,12,4,0
79,2,2016,12,4,1
79,3,2016,12,4,0
79,4,2016,12,4,2
79,5,2016,12,4,0
79,6,2016,12,4,0
79,7,2016,12,4,0
79,8,2016,12,4,0
79,9,2016,12,4,0
79,10,2016,12,4,0
79,11,2016,12,4,1
79,12,2016,12,4,0
81,1,2016,12,4,0
81,2,2016,12,4,0
81,3,2016,12,4,0
81,4,2016,12,4,0
81,5,2016,12,4,3
81,6,2016,12,4,0
81,7,2016,12,4,0
81,8,2016,12,4,0
81,9,2016,12,4,0
81,10,2016,12,4,0
81,11,2016,12,4,0
81,12,2016,12,4,0
82,1,2016,12,4,4
82,2,2016,12,4,3
82,3,2016,12,4,1
82,4,2016,12,4,2
82,5,2016,12,4,1
82,6,2016,12,4,1
82,7,2016,12,4,0
82,8,2016,12,4,0
82,9,2016,12,4,0
82,10,2016,12,4,1
82,11,2016,12,4,3
82,12,2016,12,4,1
88,1,2016,10,5,2
88,2,2016,10,5,0
88,3,2016,10,5,0
88,4,2016,10,5,0
88,5,2016,10,5,0
88,6,2016,10,5,0
88,7,2016,10,5,0
88,8,2016,10,5,0
88,9,2016,10,5,0
88,10,2016,10,5,0
88,11,2016,10,5,0
88,12,2016,10,5,0
89,1,2016,37,5,0
89,2,2016,37,5,0
89,3,2016,37,5,0
89,4,2016,37,5,2
89,5,2016,37,5,0
89,6,2016,37,5,0
89,7,2016,37,5,3
89,8,2016,37,5,1
89,9,2016,37,5,3
89,10,2016,37,5,1
89,11,2016,37,5,0
89,12,2016,37,5,0
90,1,2016,28,5,0
90,2,2016,28,5,0
90,3,2016,28,5,0
90,4,2016,28,5,0
90,5,2016,28,5,0
90,6,2016,28,5,0
90,7,2016,28,5,0
90,8,2016,28,5,0
90,9,2016,28,5,0
90,10,2016,28,5,0
90,11,2016,28,5,1
90,12,2016,28,5,1
91,1,2016,10,5,1
91,2,2016,10,5,0
91,3,2016,10,5,0
91,4,2016,10,5,0
91,5,2016,10,5,0
91,6,2016,10,5,0
91,7,2016,10,5,0
91,8,2016,10,5,2
91,9,2016,10,5,0
91,10,2016,10,5,0
91,11,2016,10,5,0
91,12,2016,10,5,1
92,1,2016,10,5,0
92,2,2016,10,5,0
92,3,2016,10,5,0
92,4,2016,10,5,0
92,5,2016,10,5,0
92,6,2016,10,5,0
92,7,2016,10,5,0
92,8,2016,10,5,0
92,9,2016,10,5,0
92,10,2016,10,5,0
92,11,2016,10,5,0
92,12,2016,10,5,0
93,1,2016,28,5,0
93,2,2016,28,5,3
93,3,2016,28,5,2
93,4,2016,28,5,2
93,5,2016,28,5,2
93,6,2016,28,5,5
93,7,2016,28,5,3
93,8,2016,28,5,1
93,9,2016,28,5,3
93,10,2016,28,5,2
93,11,2016,28,5,1
93,12,2016,28,5,1
94,1,2016,10,5,0
94,2,2016,10,5,0
94,3,2016,10,5,0
94,4,2016,10,5,0
94,5,2016,10,5,0
94,6,2016,10,5,2
94,7,2016,10,5,0
94,8,2016,10,5,0
94,9,2016,10,5,0
94,10,2016,10,5,0
94,11,2016,10,5,0
94,12,2016,10,5,1
95,1,2016,10,5,0
95,2,2016,10,5,0
95,3,2016,10,5,0
95,4,2016,10,5,1
95,5,2016,10,5,0
95,6,2016,10,5,0
95,7,2016,10,5,0
95,8,2016,10,5,1
95,9,2016,10,5,0
95,10,2016,10,5,0
95,11,2016,10,5,0
95,12,2016,10,5,0
96,1,2016,10,5,0
96,2,2016,10,5,0
96,3,2016,10,5,0
96,4,2016,10,5,1
96,5,2016,10,5,0
96,6,2016,10,5,0
96,7,2016,10,5,1
96,8,2016,10,5,0
96,9,2016,10,5,0
96,10,2016,10,5,2
96,11,2016,10,5,0
96,12,2016,10,5,0
97,1,2016,10,5,0
97,2,2016,10,5,0
97,3,2016,10,5,0
97,4,2016,10,5,0
97,5,2016,10,5,0
97,6,2016,10,5,0
97,7,2016,10,5,1
97,8,2016,10,5,0
97,9,2016,10,5,1
97,10,2016,10,5,0
97,11,2016,10,5,0
97,12,2016,10,5,1
98,1,2016,10,5,0
98,2,2016,10,5,0
98,3,2016,10,5,0
98,4,2016,10,5,0
98,5,2016,10,5,0
98,6,2016,10,5,0
98,7,2016,10,5,0
98,8,2016,10,5,0
98,9,2016,10,5,0
98,10,2016,10,5,0
98,11,2016,10,5,0
98,12,2016,10,5,0
99,1,2016,37,5,0
99,2,2016,37,5,0
99,3,2016,37,5,0
99,4,2016,37,5,0
99,5,2016,37,5,0
99,6,2016,37,5,0
99,7,2016,37,5,1
99,8,2016,37,5,1
99,9,2016,37,5,0
99,10,2016,37,5,0
99,11,2016,37,5,0
99,12,2016,37,5,0
100,1,2016,37,5,0
100,2,2016,37,5,0
100,3,2016,37,5,0
100,4,2016,37,5,0
100,5,2016,37,5,1
100,6,2016,37,5,0
100,7,2016,37,5,0
100,8,2016,37,5,0
100,9,2016,37,5,1
100,10,2016,37,5,0
100,11,2016,37,5,0
100,12,2016,37,5,0
101,1,2016,28,5,0
101,2,2016,28,5,0
101,3,2016,28,5,1
101,4,2016,28,5,0
101,5,2016,28,5,0
101,6,2016,28,5,0
101,7,2016,28,5,0
101,8,2016,28,5,0
101,9,2016,28,5,0
101,10,2016,28,5,0
101,11,2016,28,5,0
101,12,2016,28,5,0
104,1,2016,30,7,0
104,2,2016,30,7,1
104,3,2016,30,7,0
104,4,2016,30,7,0
104,5,2016,30,7,0
104,6,2016,30,7,0
104,7,2016,30,7,0
104,8,2016,30,7,1
104,9,2016,30,7,1
104,10,2016,30,7,1
104,11,2016,30,7,0
104,12,2016,30,7,0
105,1,2016,26,7,2
105,2,2016,26,7,3
105,3,2016,26,7,1
105,4,2016,26,7,2
105,5,2016,26,7,0
105,6,2016,26,7,3
105,7,2016,26,7,2
105,8,2016,26,7,1
105,9,2016,26,7,2
105,10,2016,26,7,2
105,11,2016,26,7,1
105,12,2016,26,7,1
