cisp,mes,ano,aisp,risp,armadilha_explosiva,armadilha_incendiaria,bomba_fabricacao_caseira,granada,material_belico_explosivo,material_explosivo,material_explosivo_caseiro,material_nao_identificado,total
41,5,2012,18,2,0,0,1,1,0,1,0,0,3
41,6,2012,18,2,0,0,0,0,0,0,0,0,0
41,7,2012,18,2,0,0,0,0,0,0,0,0,0
41,8,2012,18,2,0,0,0,0,0,0,0,0,0
41,9,2012,18,2,0,0,0,0,0,0,0,0,0
41,10,2012,18,2,0,0,0,0,0,0,0,0,0
41,11,2012,18,2,0,0,0,0,0,0,0,0,0
41,12,2012,18,2,0,0,0,0,0,0,0,0,0
42,1,2012,31,2,0,0,0,0,0,0,0,0,0
42,2,2012,31,2,0,0,0,0,0,0,0,0,0
42,3,2012,31,2,0,0,0,0,0,0,0,0,0
42,4,2012,31,2,0,0,0,0,0,0,0,0,0
42,5,2012,31,2,0,0,0,0,0,0,0,0,0
42,6,2012,31,2,0,0,0,0,0,0,0,0,0
42,7,2012,31,2,0,0,0,0,0,0,0,0,0
